"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Application Of Funds(Assets)","","","","1","","Asset","EUR"
"Sources Of Funds(Liabilities)","","","","1","","Liability","EUR"
"Equity","","","","1","","Equity","EUR"
"Expenses","","","","1","","Expense","EUR"
"Income","","","","1","","Income","EUR"
"0-POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","Application Of Funds(Assets)","0","","1","","Asset","EUR"
"00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","0-POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","00","0","1","","Asset","EUR"
"000-Potraživanja za upisani a neuplaćeni dionički kapital...","00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","000","00","1","","Asset","EUR"
"001-Potraživanja iz ponovljene emisije dionica za upisane a...","00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","001","00","0","Fixed Asset","Asset","EUR"
"002-Potraživanja za upisani a neuplaćeni kapital u d.o.o....","00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","002","00","0","Fixed Asset","Asset","EUR"
"003-Potraživanja za temeljni ulog komanditora","00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","003","00","0","Fixed Asset","Asset","EUR"
"004-Potraživanje za ostale uloge u kapital","00-POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","004","00","0","Fixed Asset","Asset","EUR"
"01-NEMATERIJALNA IMOVINA","0-POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","01","0","0","Fixed Asset","Asset","EUR"
"010-Izdatci za razvoj","01-NEMATERIJALNA IMOVINA","010","01","1","","Asset","EUR"
"0100-Izdatci za razvoj projekta (konstruiranje i testiranje...","010-Izdatci za razvoj","0100","010","1","","Asset","EUR"
"0101-Izdatci za razvoj proizvoda (uzorci, recepture, troškovi...","010-Izdatci za razvoj","0101","010","0","Fixed Asset","Asset","EUR"
"0102-Izdatci za istraživanje mineralnih blaga (MSFI 6)","010-Izdatci za razvoj","0102","010","0","Fixed Asset","Asset","EUR"
"011-Koncesije, patenti, licencije, robne i uslužne marke","01-NEMATERIJALNA IMOVINA","011","01","0","Fixed Asset","Asset","EUR"
"0110-Ulaganje u koncesije i dozvole (za resurse, ceste,...","011-Koncesije, patenti, licencije, robne i uslužne marke","0110","011","1","","Asset","EUR"
"0111-Ulaganje u patente, žigove i tehnologiju, inovacije,...","011-Koncesije, patenti, licencije, robne i uslužne marke","0111","011","0","Fixed Asset","Asset","EUR"
"0112-Ulaganje u licenciju i franšizu","011-Koncesije, patenti, licencije, robne i uslužne marke","0112","011","0","Fixed Asset","Asset","EUR"
"0113-Robne marke (trgovačko ime, lista kupaca, industrijska...","011-Koncesije, patenti, licencije, robne i uslužne marke","0113","011","0","Fixed Asset","Asset","EUR"
"0114-Ulaganje u tržišni udio (otkup prava distribucije za...","011-Koncesije, patenti, licencije, robne i uslužne marke","0114","011","0","Fixed Asset","Asset","EUR"
"012-Softver i ostala prava","01-NEMATERIJALNA IMOVINA","012","01","0","Fixed Asset","Asset","EUR"
"0120-Softver","012-Softver i ostala prava","0120","012","1","","Asset","EUR"
"01200-Ulaganje u računalni softver","0120-Softver","01200","0120","1","","Asset","EUR"
"01201-Ulaganje u internetske stranice","0120-Softver","01201","0120","0","Fixed Asset","Asset","EUR"
"0121-Nematerijalna dugotrajna prava","012-Softver i ostala prava","0121","012","0","Fixed Asset","Asset","EUR"
"01210-Ulaganje u autorska i dr. prava korištenja","0121-Nematerijalna dugotrajna prava","01210","0121","1","","Asset","EUR"
"01211-Ulaganje u znanje (know-how), dizajn","0121-Nematerijalna dugotrajna prava","01211","0121","0","Fixed Asset","Asset","EUR"
"01212-Ulaganje u pravo reproduciranja (npr. filmova, pravo...","0121-Nematerijalna dugotrajna prava","01212","0121","0","Fixed Asset","Asset","EUR"
"01213-Ulaganja na tuđoj imovini radi poboljšanja (nekretnina,...","0121-Nematerijalna dugotrajna prava","01213","0121","0","Fixed Asset","Asset","EUR"
"01214-Ulaganje u dugogodišnje pravo uporabe (prema ugovoru) –...","0121-Nematerijalna dugotrajna prava","01214","0121","0","Fixed Asset","Asset","EUR"
"01215-Ulaganje u pravo suvlasništva opreme","0121-Nematerijalna dugotrajna prava","01215","0121","0","Fixed Asset","Asset","EUR"
"0122-Ostala prava","012-Softver i ostala prava","0122","012","0","Fixed Asset","Asset","EUR"
"01220-Založno pravo i hipoteke (realizirane)","0122-Ostala prava","01220","0122","1","","Asset","EUR"
"01221-Pravo angažiranja povećane snage električne energije","0122-Ostala prava","01221","0122","0","Fixed Asset","Asset","EUR"
"01222-Ostala dugogodišnja prava","0122-Ostala prava","01222","0122","0","Fixed Asset","Asset","EUR"
"01223-Imovina u operativnom najmu (analitika prema vrsti)","0122-Ostala prava","01223","0122","0","Fixed Asset","Asset","EUR"
"013-Goodwill","01-NEMATERIJALNA IMOVINA","013","01","0","Fixed Asset","Asset","EUR"
"0130-Goodwill","013-Goodwill","0130","013","1","","Asset","EUR"
"014-Ostala nematerijalna imovina","01-NEMATERIJALNA IMOVINA","014","01","0","Fixed Asset","Asset","EUR"
"0140-Pravo građenja, pravo prolaza i sl.","014-Ostala nematerijalna imovina","0140","014","1","","Asset","EUR"
"0141-Filmovi, glazbeni zapisi","014-Ostala nematerijalna imovina","0141","014","0","Fixed Asset","Asset","EUR"
"0142-Ostala nematerijalna prava","014-Ostala nematerijalna imovina","0142","014","0","Fixed Asset","Asset","EUR"
"015-Predujmovi za nabavu nematerijalne imovine","01-NEMATERIJALNA IMOVINA","015","01","0","Fixed Asset","Asset","EUR"
"0150-Predujmovi za razvoj","015-Predujmovi za nabavu nematerijalne imovine","0150","015","1","","Asset","EUR"
"0151-Predujmovi za koncesije","015-Predujmovi za nabavu nematerijalne imovine","0151","015","0","Fixed Asset","Asset","EUR"
"0152-Predujmovi za patente, licencije i dr.","015-Predujmovi za nabavu nematerijalne imovine","0152","015","0","Fixed Asset","Asset","EUR"
"0153-Predujmovi za robne ili uslužne marke","015-Predujmovi za nabavu nematerijalne imovine","0153","015","0","Fixed Asset","Asset","EUR"
"0154-Predujmovi za nabavu softvera","015-Predujmovi za nabavu nematerijalne imovine","0154","015","0","Fixed Asset","Asset","EUR"
"0155-Predujmovi za nabavu ostalih prava uporabe","015-Predujmovi za nabavu nematerijalne imovine","0155","015","0","Fixed Asset","Asset","EUR"
"0156-Predujmovi za ostala nematerijalna prava","015-Predujmovi za nabavu nematerijalne imovine","0156","015","0","Fixed Asset","Asset","EUR"
"016-Kriptovalute","01-NEMATERIJALNA IMOVINA","016","01","0","Fixed Asset","Asset","EUR"
"0160-Bitcoin","016-Kriptovalute","0160","016","1","","Asset","EUR"
"0161-Ethereum","016-Kriptovalute","0161","016","0","Fixed Asset","Asset","EUR"
"0162-Ostale kriptovalute","016-Kriptovalute","0162","016","0","Fixed Asset","Asset","EUR"
"017-Nematerijalna imovina u pripremi (analitika prema vrsti...","01-NEMATERIJALNA IMOVINA","017","01","0","Fixed Asset","Asset","EUR"
"018-Vrijednosno usklađenje nematerijalne imovine (analitika...","01-NEMATERIJALNA IMOVINA","018","01","0","Fixed Asset","Asset","EUR"
"019-Akumulirana amortizacija nematerijalne imovine","01-NEMATERIJALNA IMOVINA","019","01","0","Fixed Asset","Asset","EUR"
"0190-Akumulirana amortizacija izdataka za razvoj","019-Akumulirana amortizacija nematerijalne imovine","0190","019","1","","Asset","EUR"
"0191-Akumulirana amortizacija koncesija, patenata, licencija...","019-Akumulirana amortizacija nematerijalne imovine","0191","019","0","Fixed Asset","Asset","EUR"
"0192-Akumulirana amortizacija robne i uslužne marke","019-Akumulirana amortizacija nematerijalne imovine","0192","019","0","Fixed Asset","Asset","EUR"
"0193-Akumulirana amortizacija softvera","019-Akumulirana amortizacija nematerijalne imovine","0193","019","0","Fixed Asset","Asset","EUR"
"0194-Akumulirana amortizacija goodwilla (v. napom. 3.)","019-Akumulirana amortizacija nematerijalne imovine","0194","019","0","Fixed Asset","Asset","EUR"
"0195-Akumulirana amortizacija ulaganja na tuđoj imovini","019-Akumulirana amortizacija nematerijalne imovine","0195","019","0","Fixed Asset","Asset","EUR"
"0196-Akumulirana amortizacija imovine u operativnom najmu...","019-Akumulirana amortizacija nematerijalne imovine","0196","019","0","Fixed Asset","Asset","EUR"
"0199-Akumulirana amortizacija ostale nematerijalne imovine","019-Akumulirana amortizacija nematerijalne imovine","0199","019","0","Fixed Asset","Asset","EUR"
"02-MATERIJALNA IMOVINA – NEKRETNINE","0-POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","02","0","0","Fixed Asset","Asset","EUR"
"020-Zemljišta","02-MATERIJALNA IMOVINA – NEKRETNINE","020","02","1","","Asset","EUR"
