"Source Message","Translated Message","Context"
"Accounting","Računovodstvo",""
"Account","Račun",""
"Accounts","Računi",""
"Address","Adresa",""
"Amount","Iznos",""
"Asset","Imovina",""
"Assets","Imovina",""
"Balance","Saldo",""
"Balance Sheet","Bilanca",""
"Bank","Banka",""
"Bank Account","Bankovni račun",""
"Bill","Račun",""
"Cancel","Otkaži",""
"Cash","Gotovina",""
"Chart of Accounts","Kontni plan",""
"City","Grad",""
"Company","Tvrtka",""
"Contact","Kontakt",""
"Cost","Trošak",""
"Cost Center","Mjesto troška",""
"Country","Država",""
"Credit","Kredit",""
"Credit Note","Knjižno odobrenje",""
"Currency","Valuta",""
"Customer","Kupac",""
"Customers","Kupci",""
"Date","Datum",""
"Day","Dan",""
"Debit","Duguje",""
"Debit Note","Knjižno zaduženje",""
"Default","Zadano",""
"Delete","Izbriši",""
"Description","Opis",""
"Discount","Popust",""
"Document","Dokument",""
"Documents","Dokumenti",""
"Draft","Nacrt",""
"Due Date","Datum dospijeća",""
"Email","E-pošta",""
"Employee","Zaposlenik",""
"Employees","Zaposlenici",""
"Expense","Trošak",""
"Expenses","Troškovi",""
"File","Datoteka",""
"Filter","Filter",""
"Financial Year","Financijska godina",""
"From Date","Od datuma",""
"General Ledger","Glavna knjiga",""
"Grand Total","Ukupno",""
"Group","Grupa",""
"GST","PDV",""
"Hour","Sat",""
"Income","Prihod",""
"Invoice","Račun",""
"Invoices","Računi",""
"Item","Stavka",""
"Items","Stavke",""
"Journal Entry","Temeljnica",""
"Ledger","Knjiga",""
"List","Popis",""
"Management","Upravljanje",""
"Manager","Menadžer",""
"Margin","Marža",""
"Month","Mjesec",""
"Name","Naziv",""
"Net Total","Ukupno neto",""
"Number","Broj",""
"Order","Narudžba",""
"Orders","Narudžbe",""
"Outstanding Amount","Nepodmireni iznos",""
"Paid","Plaćeno",""
"Pay","Plati",""
"Payment","Plaćanje",""
"Payment Entry","Unos plaćanja",""
"Period","Razdoblje",""
"Phone","Telefon",""
"Postal Code","Poštanski broj",""
"Price","Cijena",""
"Print","Ispis",""
"Profit","Dobit",""
"Profit and Loss","Račun dobiti i gubitka",""
"Project","Projekt",""
"Projects","Projekti",""
"Purchase","Nabava",""
"Purchase Invoice","Ulazni račun",""
"Purchase Order","Narudžba dobavljaču",""
"Quantity","Količina",""
"Rate","Stopa",""
"Receipt","Primka",""
"Reference","Referenca",""
"Report","Izvještaj",""
"Reports","Izvještaji",""
"Sales","Prodaja",""
"Sales Invoice","Izlazni račun",""
"Sales Order","Prodajni nalog",""
"Save","Spremi",""
"Settings","Postavke",""
"State","Županija",""
"Status","Status",""
"Stock","Zaliha",""
"Submit","Potvrdi",""
"Supplier","Dobavljač",""
"Suppliers","Dobavljači",""
"Tax","Porez",""
"Taxes","Porezi",""
"Taxes and Charges","Porezi i naknade",""
"To Date","Do datuma",""
"Total","Ukupno",""
"Total Amount","Ukupni iznos",""
"Type","Vrsta",""
"Unit","Jedinica",""
"User","Korisnik",""
"VAT","PDV",""
"View","Pregledaj",""
"Warehouse","Skladište",""
"Week","Tjedan",""
"Year","Godina",""
